"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_3pGRYO07gSkNDqC",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",39.877,"Orca","i think extreme neglect, like leading to starvation or death would count, but not a tank cleaning","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_5gB0c4dcWPjoMd8",7,"simple","Any “detailed representations” including an intricate painting","Broad",149.457,"Joshua","","No legal education or work experience","Right-wing (most conservative)","Joshua",1
"R_57dOUBApyUXcyFQ",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",18.623,"Nicholas","","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_7TGHEIQHqxxFog1",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",36.255,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_5riWFWa8or5YG34",5,"simple","Any kind of “closed and fastened case” including a purse","Broad",36.564,"In her purse","Since it listed ""or a fastened case"" and it was in a fastened case it shouldn't be seen as violating the law","Some law-related coursework","Moderate/Centrist","In her purse",1
"R_326ogG22Bj4LTJT",7,"baseline","Any “detailed representations” including an intricate painting","Broad",40.838,"Joshua","","No legal education or work experience","Lean Liberal","Joshua",1
"R_7IbGWpspnAljdkt",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",36.896,"Housing subsidy","No further comment","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_5Pu0YptOoGPY1Xf",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",15.728,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_3rU9T1ZWnLjkvQt",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",38.996,"At the campground","","Some law-related coursework","Liberal/Democrat","At the campground",1
"R_5f7IxxEYwCJw34E",10,"baseline","Loud “machines” like washers or dryers","Restricted",59.451,"Sewing machine","","Licensed attorney","Progressive (most liberal)","Sewing machine",1
"R_7CKHnKivNOyvdrX",4,"simple","Any “relinquishment” including a temporary lease","Broad",83.763,"Power plant","","Other (please specify)","Moderate/Centrist","Power plant",1
"R_5gUfF5Ej16BhbW2",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",45.736,"Housing subsidy","","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_7drU7n7Sb9eSfzh",9,"phrasal","Promotional “signs” like advertisements or flyers","Restricted",36.057,"IT","","No legal education or work experience","Lean Conservative","IT",1
"R_5DTg3gGVFHlNOeG",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",27.251,"In her purse","Thank you! ","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_3Mzl0ZqvVmEUFYL",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",20.715,"Gun","no comments","No legal education or work experience","Lean Conservative","Gun",1
"R_6UtoiFrFi3BBLFL",4,"baseline","Any “relinquishment” including a temporary lease","Broad",23.491,"Waste disposal","thank you!","No legal education or work experience","Lean Conservative","Power plant",0
"R_5CqZGWZGzqdOIrp",3,"simple","Any “clinic” including a wellness spa","Broad",31.285,"Gun","Not every wellness spa is a medical clinic, but some are. If this clinic has physical therapy, then there is most likely a healthcare organization standard that the spa needs to abide by, with certified medical practitioners. Med-spas are absolutely under the category of medical clinics and should be treated like such.","No legal education or work experience","Moderate/Centrist","Gun",1
"R_3f7woYyQxTj8koN",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",22.755,"Nicholas","","Some law-related coursework","Lean Liberal","Nicholas",1
"R_1OKdzcCCLVSfMos",10,"phrasal","Any “machine” including a small sewing machine","Broad",23.642,"Sewing machine","","Other (please specify)","Liberal/Democrat","Sewing machine",1
"R_6xWQv6HM1j13I3r",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",11.65,"Anne","no comments","No legal education or work experience","Conservative/Republican","Nicholas",0
"R_7ptoICGM7pI56VT",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",38.457,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_5qeY49xp4fRMG2A",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",14.361,"Nicholas","Technically the fan is electronic but it seems to be a very strict rule and meant more to stop phone/computer use.","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_1M47zInrR8735a9",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",58.07,"Housing subsidy","","Some law-related coursework","Lean Conservative","Housing subsidy",1
"R_55I4oRJTCjklQDD",12,"phrasal","Any “vehicle” including a bicycle","Broad",26.773,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_5IgeBkpCGD5ILeN",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",24.409,"Bicycle","","No legal education or work experience","Conservative/Republican","Bicycle",1
"R_7uNEmulebNkCPCN",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",40.739,"Orca","","Some law-related coursework","Liberal/Democrat","Orca",1
"R_5VegJxZduP2BOl8",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",97.573,"Housing subsidy","","Current law student","Liberal/Democrat","Housing subsidy",1
"R_5D5XJ38YmJQEIFF",10,"phrasal","Any “machine” including a small sewing machine","Broad",42.146,"Sewing machine","","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_5qezgHOTDKFncry",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",29.481,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_537NZvgkxJjxK6v",7,"simple","Any “detailed representations” including an intricate painting","Broad",51.643,"Joshua","Nothing at this time.","No legal education or work experience","Lean Conservative","Joshua",1
"R_3qfIMsbodYLJevF",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",48.874,"Power plant","","No legal education or work experience","Conservative/Republican","Power plant",1
"R_3Cd0rxy3AFRyamo",9,"simple","Any “sign” including a happy birthday banner","Broad",48.548,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_37DWuNVoueWzW0J",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",27.16,"Orca","","Some law-related coursework","Conservative/Republican","Orca",1
"R_5Qg95geAoGyPz78",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",22.074,"Nicholas","","Some law-related coursework","Conservative/Republican","Nicholas",1
"R_5X1hn0BLrz3jKTv",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",13.834,"Bicycle","no comments
","No legal education or work experience","Conservative/Republican","Bicycle",1
"R_5pM5kf2u6PwAmdW",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",77.088,"Power plant","Thank you for allowing me to participate.","No legal education or work experience","Lean Liberal","Power plant",1
"R_5C796wuMYCBlMLx",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",12.004,"Gun","I found the scenario interesting and clear. ","No legal education or work experience","Conservative/Republican","Gun",1
"R_61liPWZATKis5X3",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",37.958,"Power plant","no comments","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_1QZlznJ07kowGtP",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",32.472,"Power plant","This is fascinating to me because I love words and language. If Ashley leases the power plant but still owns it, there has been no relinquishment.","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_6lxXwI8FCqXsBGC",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",72.092,"Bicycle","","No legal education or work experience","Lean Conservative","Bicycle",1
"R_5OoerSEhQxgklFO",8,"baseline","Any “tank” including a fish tank","Broad",50.165,"A pet store","","Some law-related coursework","Conservative/Republican","An aquarium",0
"R_6Nt7vQWixaQBpC0",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",68.905,"Housing subsidy","N/A","Some law-related coursework","Lean Liberal","Housing subsidy",1
"R_5hi9yDFnGBYAvtv",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",51.91,"Joshua","It did say it was an INTRICATE depiction of the building>","No legal education or work experience","Right-wing (most conservative)","Joshua",1
"R_7f2xsNlA8htFrW1",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",20.492,"Orca","I would hope Jessica's neglect of the orca subjected her to legal consequences under animal cruelty statutes if nothing else.","Legal work experience but no law degree","Liberal/Democrat","Orca",1
"R_6WOMMDoREd3SMii",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",30.689,"Nicholas","","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_3o0GZRsdi2q5bvA",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",37.365,"Gun","n/a","No legal education or work experience","Liberal/Democrat","Gun",1
"R_1r94MocUEKhsyCo",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",29.026,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_3LYcnPzD5X7gsDq",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",18.85,"Bicycle","It was interesting ","No legal education or work experience","Right-wing (most conservative)","Bicycle",1
"R_6eVnXdiiZWLUH7h",6,"baseline","“Waste” that could attract animals like food or drinks","Restricted",10.518,"At the campground","None really ","Legal work experience but no law degree","Progressive (most liberal)","At the campground",1
"R_3jZp9k39X1sr9pH",6,"simple","Any “waste” including used gift-wrapping paper","Broad",26.53,"At the campground","I have no comments or feedback to give on this study.","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_50qJDgD0o8pAELk",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",44.56,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_61zbrKFBK9lql04",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",45.357,"Bicycle","","Legal work experience but no law degree","Liberal/Democrat","Bicycle",1
"R_6EsI4z3yXTrR106",1,"baseline","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",42.171,"Housing subsidy","","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_1cAdVKipHBUVaI3",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",55.687,"Nicholas","all are clear","No legal education or work experience","Conservative/Republican","Nicholas",1
